Scenario,Protocol,Type,AccessBW,BottleneckBW,Throughput_Mbps,LossRate_Pct
wifi_n,TcpBbr,tcp,N/A,N/A,2.07284,2.05866
dc_100g,TcpLark,tcp,N/A,N/A,33567.9,0
wifi_n,TcpCubic,tcp,N/A,N/A,16.6929,0.0816008
cross_pod_10g,TcpBbr,tcp,N/A,N/A,196.002,0
satellite_geo,TcpNewReno,tcp,N/A,N/A,3.06919,0.395034
congested_heavy,TcpCubic,tcp,N/A,N/A,337.441,0.00123149
lte_good,TcpCubic,tcp,N/A,N/A,16.5625,2.94934
wan_metro,TcpBbr,tcp,N/A,N/A,171.467,0.00104842
wifi_n,TcpLark,tcp,N/A,N/A,16.8333,0
cross_dc_wan,TcpNewReno,tcp,N/A,N/A,334.845,0.00212766
leaf_spine_20g,TcpCubic,tcp,N/A,N/A,6736.71,0.0152528
dc_500m,TcpBbr,tcp,N/A,N/A,4.32571,0
congested_medium,TcpCubic,tcp,N/A,N/A,674.485,0.000616143
wifi_ac,TcpNewReno,tcp,N/A,N/A,133.52,0.0057778
mixed_large_flow,TcpNewReno,tcp,N/A,N/A,4213.74,0.0180888
intra_rack_25g,TcpLark,tcp,N/A,N/A,8427.13,0
lte_poor,TcpNewReno,tcp,N/A,N/A,3.32055,0.212014
leaf_spine_50g,TcpCubic,tcp,N/A,N/A,16854.6,0.00251172
asymmetric_high,TcpCubic,tcp,N/A,N/A,337.45,0.00123145
dc_oversub_10to1,TcpBbr,tcp,N/A,N/A,170.46,0
rdma_like_25g,TcpLark,tcp,N/A,N/A,8427.13,0
dc_100m,TcpLark,tcp,N/A,N/A,33.8498,0
dc_oversub_10to1,TcpNewReno,tcp,N/A,N/A,337.202,0.00510534
wan_longhaul,TcpBbr,tcp,N/A,N/A,294.87,1.25257
leaf_spine_20g,TcpLark,tcp,N/A,N/A,6736.19,0
intra_rack_25g,TcpBbr,tcp,N/A,N/A,0.722025,0
nr_5g_embb,TcpLark,tcp,N/A,N/A,165.905,0
rdma_like_25g,TcpBbr,tcp,N/A,N/A,0.680221,0
wifi_legacy,TcpBbr,tcp,N/A,N/A,3.99189,0.1772
wifi_legacy,TcpLark,tcp,N/A,N/A,3.39274,0
cross_pod_20g,TcpCubic,tcp,N/A,N/A,6735.17,0.0169483
congested_light,TcpCubic,tcp,N/A,N/A,1685.96,0.000246505
oversub_2to1_50g,TcpCubic,tcp,N/A,N/A,8427.77,0.0127207
symmetric_low,TcpNewReno,tcp,N/A,N/A,337.083,0.00475504
asymmetric_high,TcpBbr,tcp,N/A,N/A,171.865,0
wan_metro,TcpCubic,tcp,N/A,N/A,336.699,0.00123414
congested_light,TcpBbr,tcp,N/A,N/A,856.641,0
mixed_small_flow,TcpNewReno,tcp,N/A,N/A,674.236,0.0470022
rdma_like_50g,TcpNewReno,tcp,N/A,N/A,16854.3,0.00590075
oversub_4to1_10g,TcpLark,tcp,N/A,N/A,842.681,0
lte_good,TcpNewReno,tcp,N/A,N/A,18.3225,0.0419734
oversub_2to1_50g,TcpLark,tcp,N/A,N/A,8427.24,0
wan_metro,TcpLark,tcp,N/A,N/A,334.404,0
symmetric_low,TcpCubic,tcp,N/A,N/A,337.401,0.00123162
cross_dc_wan,TcpBbr,tcp,N/A,N/A,170.245,0.010177
lte_poor,TcpCubic,tcp,N/A,N/A,3.47348,2.76536
dc_100m,TcpNewReno,tcp,N/A,N/A,33.8122,0.0561344
oversub_2to1_50g,TcpBbr,tcp,N/A,N/A,2479.44,0
wifi_ac,TcpBbr,tcp,N/A,N/A,156.823,0.053312
congested_heavy,TcpNewReno,tcp,N/A,N/A,337.202,0.00510534
dc_100g,TcpNewReno,tcp,N/A,N/A,N/A,N/A
dc_500m,TcpLark,tcp,N/A,N/A,168.658,0
nr_5g_edge,TcpNewReno,tcp,N/A,N/A,36.6658,0.0194043
rdma_like_25g,TcpCubic,tcp,N/A,N/A,8427.51,0.0166648
leaf_spine_20g,TcpNewReno,tcp,N/A,N/A,6736.23,0.0118529
mixed_large_flow,TcpBbr,tcp,N/A,N/A,798.814,0
congested_medium,TcpLark,tcp,N/A,N/A,674.202,0
satellite_leo,TcpLark,tcp,N/A,N/A,16.5955,0
mixed_large_flow,TcpCubic,tcp,N/A,N/A,4214.22,0.00187366
asymmetric_high,TcpNewReno,tcp,N/A,N/A,337.204,0.00510531
dc_oversub_10to1,TcpLark,tcp,N/A,N/A,337.173,0
lte_good,TcpBbr,tcp,N/A,N/A,20.7842,0.28928
dc_100m,TcpBbr,tcp,N/A,N/A,17.13,0
intra_rack_10g,TcpCubic,tcp,N/A,N/A,3371.37,0.000105658
rdma_like_25g,TcpNewReno,tcp,N/A,N/A,8427.16,0.00962313
cross_pod_10g,TcpCubic,tcp,N/A,N/A,3371.17,0.000105665
mixed_large_flow,TcpLark,tcp,N/A,N/A,4213.7,0
leaf_spine_50g,TcpBbr,tcp,N/A,N/A,2532.96,0
congested_heavy,TcpLark,udp,N/A,N/A,271.645,0
intra_rack_10g,TcpLark,udp,N/A,N/A,3240.08,0
wan_metro,TcpNewReno,udp,N/A,N/A,271.051,0.00394176
intra_rack_25g,TcpCubic,udp,N/A,N/A,8296.75,0.016863
oversub_4to1_10g,TcpCubic,udp,N/A,N/A,718.356,0.000661182
wifi_ax,TcpBbr,udp,N/A,N/A,79.7648,0.0886505
nr_5g_embb,TcpNewReno,udp,N/A,N/A,124.675,0.00666416
satellite_leo,TcpBbr,udp,N/A,N/A,13.6398,0.55113
oversub_4to1_40g,TcpLark,udp,N/A,N/A,3240.08,0
intra_rack_10g,TcpBbr,udp,N/A,N/A,0.745272,0
wifi_ac,TcpCubic,udp,N/A,N/A,102.523,0.00694509
oversub_2to1_25g,TcpCubic,udp,N/A,N/A,4083.16,0.00193379
cross_dc_wan,TcpLark,udp,N/A,N/A,220.686,0
satellite_leo,TcpCubic,udp,N/A,N/A,12.5399,7.90541
congested_heavy,TcpBbr,udp,N/A,N/A,22.8374,0
symmetric_low,TcpLark,udp,N/A,N/A,267.741,0
wifi_ax,TcpCubic,udp,N/A,N/A,154.19,0.00346427
oversub_4to1_10g,TcpNewReno,udp,N/A,N/A,679.896,0.368531
congested_light,TcpNewReno,udp,N/A,N/A,1554.7,0.0524425
leaf_spine_50g,TcpLark,udp,N/A,N/A,16723,0
wifi_legacy,TcpCubic,udp,N/A,N/A,2.46795,9.17372
mixed_small_flow,TcpBbr,udp,N/A,N/A,65.8402,0
nr_5g_edge,TcpBbr,udp,N/A,N/A,35.6395,0.211797
congested_medium,TcpNewReno,udp,N/A,N/A,568.872,0.0562166
dc_oversub_10to1,TcpCubic,udp,N/A,N/A,271.406,0.00196864
cross_dc_wan,TcpCubic,udp,N/A,N/A,267.942,0.00221532
satellite_leo,TcpNewReno,udp,N/A,N/A,10.7618,0.389105
nr_5g_embb,TcpCubic,udp,N/A,N/A,128.205,0.0046286
wifi_ac,TcpLark,udp,N/A,N/A,101.246,0
lte_good,TcpLark,udp,N/A,N/A,12.5439,0
cross_pod_10g,TcpNewReno,udp,N/A,N/A,3240.04,0.0222217
asymmetric_high,TcpLark,udp,N/A,N/A,271.646,0
wan_longhaul,TcpLark,udp,N/A,N/A,45.3211,0
wifi_n,TcpNewReno,udp,N/A,N/A,11.886,0.0996264
oversub_2to1_25g,TcpLark,udp,N/A,N/A,4082.68,0
cross_pod_10g,TcpLark,udp,N/A,N/A,3240.02,0
rdma_like_50g,TcpCubic,udp,N/A,N/A,16723.5,0.00252076
oversub_4to1_40g,TcpNewReno,udp,N/A,N/A,3240.12,0.0237962
dc_500m,TcpCubic,udp,N/A,N/A,129.171,0.00459576
wan_longhaul,TcpNewReno,udp,N/A,N/A,170.264,0.363451
mixed_small_flow,TcpLark,udp,N/A,N/A,569.065,0
satellite_geo,TcpLark,udp,N/A,N/A,1.88085,0
rdma_like_50g,TcpBbr,udp,N/A,N/A,0.686694,0
wifi_ax,TcpNewReno,udp,N/A,N/A,151.624,0.0058713
satellite_geo,TcpBbr,udp,N/A,N/A,0.628889,11.9184
leaf_spine_50g,TcpNewReno,udp,N/A,N/A,16723,0.00573762
intra_rack_25g,TcpNewReno,udp,N/A,N/A,8296.33,0.00971759
congested_medium,TcpBbr,udp,N/A,N/A,50.5608,0
oversub_2to1_50g,TcpNewReno,udp,N/A,N/A,8296.45,0.00956719
oversub_4to1_40g,TcpCubic,udp,N/A,N/A,3240.54,0.000128248
leaf_spine_20g,TcpBbr,udp,N/A,N/A,2474.86,0
rdma_like_50g,TcpLark,udp,N/A,N/A,16723,0
symmetric_low,TcpBbr,udp,N/A,N/A,3.15264,0
oversub_2to1_25g,TcpBbr,udp,N/A,N/A,2308.95,0
dc_500m,TcpNewReno,udp,N/A,N/A,129.136,0.0206822
nr_5g_edge,TcpCubic,udp,N/A,N/A,25.5623,0.0741651
dc_100g,TcpBbr,udp,N/A,N/A,0.733131,0
satellite_geo,TcpCubic,udp,N/A,N/A,1.30669,0.482245
lte_poor,TcpBbr,udp,N/A,N/A,1.50126,6.25899
cross_pod_20g,TcpBbr,udp,N/A,N/A,196.91,0
dc_100m,TcpCubic,udp,N/A,N/A,25.8935,0.0274895
oversub_4to1_40g,TcpBbr,udp,N/A,N/A,2337.71,0
nr_5g_edge,TcpLark,udp,N/A,N/A,25.4466,0
wifi_ax,TcpLark,udp,N/A,N/A,152.128,0
intra_rack_10g,TcpNewReno,udp,N/A,N/A,3240.11,0.0239428
oversub_2to1_25g,TcpNewReno,udp,N/A,N/A,4082.72,0.0188142
nr_5g_embb,TcpBbr,udp,N/A,N/A,18.9047,0.283521
oversub_4to1_10g,TcpBbr,udp,N/A,N/A,63.6517,0
wan_longhaul,TcpCubic,udp,N/A,N/A,235.182,0.659491
mixed_small_flow,TcpCubic,udp,N/A,N/A,569.39,0.000834151
dc_100g,TcpCubic,udp,N/A,N/A,33438.5,0.00126611
wifi_legacy,TcpNewReno,udp,N/A,N/A,2.17715,1.28205
congested_light,TcpLark,udp,N/A,N/A,1554.66,0
lte_poor,TcpLark,udp,N/A,N/A,2.49834,0
cross_pod_20g,TcpLark,udp,N/A,N/A,6603.17,0
cross_pod_20g,TcpNewReno,udp,N/A,N/A,6604.99,0.0111358
wifi_n,TcpBbr,udp,N/A,N/A,1.76873,2.82733
dc_100g,TcpLark,udp,N/A,N/A,33438,0
wifi_n,TcpCubic,udp,N/A,N/A,12.577,0.122336
cross_pod_10g,TcpBbr,udp,N/A,N/A,195.126,0
satellite_geo,TcpNewReno,udp,N/A,N/A,0.803622,0.146199
congested_heavy,TcpCubic,udp,N/A,N/A,271.406,0.00196864
lte_good,TcpCubic,udp,N/A,N/A,12.5399,7.90541
wan_metro,TcpBbr,udp,N/A,N/A,138.011,0.0030152
wifi_n,TcpLark,udp,N/A,N/A,12.8589,0
cross_dc_wan,TcpNewReno,udp,N/A,N/A,264.28,0.0029196
leaf_spine_20g,TcpCubic,udp,N/A,N/A,6605.76,0.0155553
dc_500m,TcpBbr,udp,N/A,N/A,4.34571,0
congested_medium,TcpCubic,udp,N/A,N/A,569.365,0.000834189
wifi_ac,TcpNewReno,udp,N/A,N/A,99.3288,0.00896261
mixed_large_flow,TcpNewReno,udp,N/A,N/A,4082.71,0.0186689
intra_rack_25g,TcpLark,udp,N/A,N/A,8296.3,0
lte_poor,TcpNewReno,udp,N/A,N/A,2.07529,0.393812
leaf_spine_50g,TcpCubic,udp,N/A,N/A,16723.4,0.00253142
asymmetric_high,TcpCubic,udp,N/A,N/A,271.415,0.00196858
dc_oversub_10to1,TcpBbr,udp,N/A,N/A,22.8374,0
rdma_like_25g,TcpLark,udp,N/A,N/A,8296.3,0
dc_100m,TcpLark,udp,N/A,N/A,25.941,0
dc_oversub_10to1,TcpNewReno,udp,N/A,N/A,271.06,0.00788376
wan_longhaul,TcpBbr,udp,N/A,N/A,175.474,3.05556
leaf_spine_20g,TcpLark,udp,N/A,N/A,6605.24,0
intra_rack_25g,TcpBbr,udp,N/A,N/A,0.722025,0
nr_5g_embb,TcpLark,udp,N/A,N/A,126.304,0
rdma_like_25g,TcpBbr,udp,N/A,N/A,0.680221,0
wifi_legacy,TcpBbr,udp,N/A,N/A,0.624908,5.97285
wifi_legacy,TcpLark,udp,N/A,N/A,2.51486,0
cross_pod_20g,TcpCubic,udp,N/A,N/A,6604.22,0.0172844
congested_light,TcpCubic,udp,N/A,N/A,1555.05,0.000267247
oversub_2to1_50g,TcpCubic,udp,N/A,N/A,8296.94,0.0129212
symmetric_low,TcpNewReno,udp,N/A,N/A,267.159,0.00666604
asymmetric_high,TcpBbr,udp,N/A,N/A,22.5907,0
wan_metro,TcpCubic,udp,N/A,N/A,270.576,0.00175517
