Setting,Scenario,Protocol,BottleneckMbps,BaseOwdMs,Flows,SinkPort,Goodput_Mbps,Util,Delay_ms,Jitter_ms,Loss_pct,Jain,Source
tcp_only,dc_100g,TcpBbr,100000.0,0.004,3,49153/50000,2.2,0.0,0.0044,0.0,0.0,1.0,logs/comparison/dc_100g_TcpBbr.flowmonitor
tcp_only,dc_100g,TcpCubic,100000.0,0.004,3,49153/5000,99961.29,0.9996,1.1832,0.0004,0.0007,1.0,logs/comparison/dc_100g_TcpCubic.flowmonitor
tcp_only,dc_100g,TcpNewReno,100000.0,0.004,3,49153/5000,99961.74,0.9996,1.1122,0.0004,0.0019,1.0,logs/comparison/dc_100g_TcpNewReno.flowmonitor
tcp_only,dc_100g,TcpSwift,100000.0,0.004,3,49153/5000,99961.79,0.9996,0.0675,0.0004,0.0,1.0,logs/comparison/dc_100g_TcpSwift.flowmonitor
tcp_only,dc_100m,TcpBbr,100.0,0.009,3,49153/50000,51.53,0.5153,1.3724,0.0563,0.0,1.0,logs/comparison/dc_100m_TcpBbr.flowmonitor
tcp_only,dc_100m,TcpCubic,100.0,0.009,3,49153/50000,100.36,1.0036,15.4801,0.3549,0.0154,0.9999,logs/comparison/dc_100m_TcpCubic.flowmonitor
tcp_only,dc_100m,TcpNewReno,100.0,0.009,3,49153/50000,100.36,1.0036,16.2489,0.2724,0.0718,0.9999,logs/comparison/dc_100m_TcpNewReno.flowmonitor
tcp_only,dc_100m,TcpSwift,100.0,0.009,3,49153/50000,100.36,1.0036,35.4207,0.4302,0.0,0.9999,logs/comparison/dc_100m_TcpSwift.flowmonitor
tcp_only,dc_500m,TcpBbr,500.0,0.009,3,49153/50000,257.07,0.5141,0.1607,0.0088,0.0,0.6893,logs/comparison/dc_500m_TcpBbr.flowmonitor
tcp_only,dc_500m,TcpCubic,500.0,0.009,3,49153/50000,501.81,1.0036,6.6735,0.0712,0.0027,1.0,logs/comparison/dc_500m_TcpCubic.flowmonitor
tcp_only,dc_500m,TcpNewReno,500.0,0.009,3,49153/50000,501.81,1.0036,6.9805,0.0711,0.0117,1.0,logs/comparison/dc_500m_TcpNewReno.flowmonitor
tcp_only,dc_500m,TcpSwift,500.0,0.009,3,49153/50000,501.81,1.0036,10.7195,0.0846,0.0,1.0,logs/comparison/dc_500m_TcpSwift.flowmonitor
tcp_only,dc_oversub_10to1,TcpBbr,1000.0,0.009,3,49153/50000,507.86,0.5079,0.1303,0.0057,0.0,1.0,logs/comparison/dc_oversub_10to1_TcpBbr.flowmonitor
tcp_only,dc_oversub_10to1,TcpCubic,1000.0,0.009,3,49153/50000,1003.63,1.0036,5.4946,0.0356,0.0011,1.0,logs/comparison/dc_oversub_10to1_TcpCubic.flowmonitor
tcp_only,dc_oversub_10to1,TcpNewReno,1000.0,0.009,3,49153/50000,1003.63,1.0036,5.8697,0.0356,0.0046,1.0,logs/comparison/dc_oversub_10to1_TcpNewReno.flowmonitor
tcp_only,dc_oversub_10to1,TcpSwift,1000.0,0.009,3,49153/50000,1003.63,1.0036,6.9727,0.0363,0.0,1.0,logs/comparison/dc_oversub_10to1_TcpSwift.flowmonitor
tcp_only,intra_rack_10g,TcpBbr,10000.0,0.004,3,49153/50000,2.24,0.0002,0.0062,0.0,0.0,1.0,logs/comparison/intra_rack_10g_TcpBbr.flowmonitor
tcp_only,intra_rack_10g,TcpCubic,10000.0,0.004,3,49153/50000,10038.01,1.0038,4.5127,0.0036,0.0001,1.0,logs/comparison/intra_rack_10g_TcpCubic.flowmonitor
tcp_only,intra_rack_10g,TcpNewReno,10000.0,0.004,3,49153/50000,10038.01,1.0038,3.9434,0.0036,0.0086,1.0,logs/comparison/intra_rack_10g_TcpNewReno.flowmonitor
tcp_only,intra_rack_10g,TcpSwift,10000.0,0.004,3,49153/50000,10038.01,1.0038,0.7076,0.0036,0.0,1.0,logs/comparison/intra_rack_10g_TcpSwift.flowmonitor
tcp_only,intra_rack_25g,TcpBbr,25000.0,0.004,3,49153/50000,2.2,0.0001,0.0054,0.0,0.0,0.9999,logs/comparison/intra_rack_25g_TcpBbr.flowmonitor
tcp_only,intra_rack_25g,TcpCubic,25000.0,0.004,3,49153/50000,25095.01,1.0038,4.3896,0.0014,0.0061,1.0,logs/comparison/intra_rack_25g_TcpCubic.flowmonitor
tcp_only,intra_rack_25g,TcpNewReno,25000.0,0.004,3,49153/50000,25095.02,1.0038,3.7911,0.0014,0.0037,1.0,logs/comparison/intra_rack_25g_TcpNewReno.flowmonitor
tcp_only,intra_rack_25g,TcpSwift,25000.0,0.004,3,49153/50000,25095.02,1.0038,0.2806,0.0014,0.0,1.0,logs/comparison/intra_rack_25g_TcpSwift.flowmonitor
tcp_only,leaf_spine_20g,TcpBbr,20000.0,0.009,3,49153/50000,7414.72,0.3707,0.0102,0.0,0.0,1.0,logs/comparison/leaf_spine_20g_TcpBbr.flowmonitor
tcp_only,leaf_spine_20g,TcpCubic,20000.0,0.009,3,49153/50000,20059.12,1.003,4.4379,0.0018,0.0055,1.0,logs/comparison/leaf_spine_20g_TcpCubic.flowmonitor
tcp_only,leaf_spine_20g,TcpNewReno,20000.0,0.009,3,49153/50000,20059.19,1.003,3.8055,0.0018,0.0046,1.0,logs/comparison/leaf_spine_20g_TcpNewReno.flowmonitor
tcp_only,leaf_spine_20g,TcpSwift,20000.0,0.009,3,49153/50000,20059.2,1.003,0.3471,0.0018,0.0,1.0,logs/comparison/leaf_spine_20g_TcpSwift.flowmonitor
tcp_only,leaf_spine_50g,TcpBbr,50000.0,0.009,3,49153/5000,7600.79,0.152,0.0098,0.0,0.0,1.0,logs/comparison/leaf_spine_50g_TcpBbr.flowmonitor
tcp_only,leaf_spine_50g,TcpCubic,50000.0,0.009,3,49153/5000,50189.19,1.0038,2.3646,0.0007,0.0013,1.0,logs/comparison/leaf_spine_50g_TcpCubic.flowmonitor
tcp_only,leaf_spine_50g,TcpNewReno,50000.0,0.009,3,49153/5000,50189.86,1.0038,2.2093,0.0007,0.0028,1.0,logs/comparison/leaf_spine_50g_TcpNewReno.flowmonitor
tcp_only,leaf_spine_50g,TcpSwift,50000.0,0.009,3,49153/50000,50189.92,1.0038,0.1333,0.0007,0.0,1.0,logs/comparison/leaf_spine_50g_TcpSwift.flowmonitor
tcp_only,lte_good,TcpBbr,50.0,30.0,3,49153/50000,46.33,0.9266,66.8004,0.0923,0.7689,0.933,logs/comparison/lte_good_TcpBbr.flowmonitor
tcp_only,lte_good,TcpCubic,50.0,30.0,3,49153/50000,49.39,0.9879,70.0979,0.4022,1.0482,0.9998,logs/comparison/lte_good_TcpCubic.flowmonitor
tcp_only,lte_good,TcpNewReno,50.0,30.0,3,49153/50000,49.24,0.9848,50.5083,0.2941,0.029,0.9909,logs/comparison/lte_good_TcpNewReno.flowmonitor
tcp_only,lte_good,TcpSwift,50.0,30.0,3,49153/50000,49.46,0.9893,80.6138,0.7366,0.0,1.0,logs/comparison/lte_good_TcpSwift.flowmonitor
tcp_only,lte_poor,TcpBbr,10.0,70.0,3,49153/50000,9.28,0.9283,172.2245,1.0912,1.7875,0.5905,logs/comparison/lte_poor_TcpBbr.flowmonitor
tcp_only,lte_poor,TcpCubic,10.0,70.0,3,49153/50000,9.81,0.9807,187.9966,1.5717,1.7986,0.9648,logs/comparison/lte_poor_TcpCubic.flowmonitor
tcp_only,lte_poor,TcpNewReno,10.0,70.0,3,49153/50000,9.77,0.9767,174.1917,1.4076,0.1692,0.9998,logs/comparison/lte_poor_TcpNewReno.flowmonitor
tcp_only,lte_poor,TcpSwift,10.0,70.0,3,49153/50000,9.81,0.981,310.7895,3.8601,0.0,0.9997,logs/comparison/lte_poor_TcpSwift.flowmonitor
tcp_only,mixed_large_flow,TcpBbr,12500.0,0.014,3,49153/50000,2402.64,0.1922,0.0157,0.0002,0.0,1.0,logs/comparison/mixed_large_flow_TcpBbr.flowmonitor
tcp_only,mixed_large_flow,TcpCubic,12500.0,0.014,3,49153/5000,12547.41,1.0038,4.4591,0.0029,0.0007,1.0,logs/comparison/mixed_large_flow_TcpCubic.flowmonitor
tcp_only,mixed_large_flow,TcpNewReno,12500.0,0.014,3,49153/5000,12547.47,1.0038,3.8462,0.0029,0.0068,1.0,logs/comparison/mixed_large_flow_TcpNewReno.flowmonitor
tcp_only,mixed_large_flow,TcpSwift,12500.0,0.014,3,49153/5000,12547.48,1.0038,0.5553,0.0029,0.0,1.0,logs/comparison/mixed_large_flow_TcpSwift.flowmonitor
tcp_only,mixed_small_flow,TcpBbr,2000.0,0.014,3,49153/50000,1015.42,0.5077,0.0328,0.0025,0.0,0.6742,logs/comparison/mixed_small_flow_TcpBbr.flowmonitor
tcp_only,mixed_small_flow,TcpCubic,2000.0,0.014,3,49153/50000,2007.26,1.0036,4.9669,0.0178,0.0005,1.0,logs/comparison/mixed_small_flow_TcpCubic.flowmonitor
tcp_only,mixed_small_flow,TcpNewReno,2000.0,0.014,3,49153/5000,2007.26,1.0036,5.3174,0.0178,0.0169,1.0,logs/comparison/mixed_small_flow_TcpNewReno.flowmonitor
tcp_only,mixed_small_flow,TcpSwift,2000.0,0.014,3,49153/50000,2007.26,1.0036,3.544,0.0178,0.0,1.0,logs/comparison/mixed_small_flow_TcpSwift.flowmonitor
tcp_only,nr_5g_edge,TcpBbr,100.0,14.0,3,49153/50000,98.84,0.9884,64.4195,0.0597,0.0819,0.3869,logs/comparison/nr_5g_edge_TcpBbr.flowmonitor
tcp_only,nr_5g_edge,TcpCubic,100.0,14.0,3,49153/50000,99.63,0.9963,29.222,0.2673,0.0245,0.9996,logs/comparison/nr_5g_edge_TcpCubic.flowmonitor
tcp_only,nr_5g_edge,TcpNewReno,100.0,14.0,3,49153/50000,99.35,0.9935,26.629,0.1734,0.015,0.9861,logs/comparison/nr_5g_edge_TcpNewReno.flowmonitor
