Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_heavy,TcpCubic,1021.18,2.7521,0.0178,0.00
lte_good,TcpCubic,50.54,50.0585,0.2011,0.66
wan_metro,TcpBbr,1022.54,3.7286,0.0012,0.00
wifi_n,TcpSwift,50.75,46.0869,0.4101,0.00
cross_dc_wan,TcpNewReno,1016.13,6.9505,0.0143,0.00
leaf_spine_20g,TcpCubic,20409.49,2.2235,0.0009,0.00
dc_500m,TcpBbr,261.56,0.0857,0.0044,0.00
congested_medium,TcpCubic,2042.36,2.4908,0.0089,0.00
wifi_ac,TcpNewReno,406.04,9.5521,0.0288,0.00
mixed_large_flow,TcpNewReno,12767.04,1.9301,0.0014,0.00
intra_rack_25g,TcpSwift,25532.34,0.1423,0.0007,0.00
lte_poor,TcpNewReno,9.95,122.1269,0.7038,0.11
leaf_spine_50g,TcpCubic,51064.78,1.1868,0.0004,0.00
asymmetric_high,TcpCubic,1021.18,2.7521,0.0178,0.00
dc_oversub_10to1,TcpBbr,516.71,0.0699,0.0028,0.00
rdma_like_25g,TcpSwift,25532.35,0.1423,0.0007,0.00
dc_100m,TcpSwift,102.11,17.7174,0.2151,0.00
dc_oversub_10to1,TcpNewReno,1021.55,2.9396,0.0178,0.00
wan_longhaul,TcpBbr,985.94,34.5562,0.0015,0.26
leaf_spine_20g,TcpSwift,20408.76,0.1781,0.0009,0.00
intra_rack_25g,TcpBbr,2.24,0.0048,0.0000,0.00
nr_5g_embb,TcpSwift,506.33,7.1661,0.0120,0.00
rdma_like_25g,TcpBbr,2.11,0.0028,0.0000,0.00
wifi_legacy,TcpBbr,10.03,70.8889,0.3365,0.05
wifi_legacy,TcpSwift,10.13,136.1394,1.9418,0.00
cross_pod_20g,TcpCubic,20405.18,2.2641,0.0009,0.00
congested_light,TcpCubic,5106.74,2.3382,0.0036,0.00
oversub_2to1_50g,TcpCubic,25532.87,2.1927,0.0007,0.00
symmetric_low,TcpNewReno,1021.52,2.9869,0.0178,0.00
asymmetric_high,TcpBbr,518.99,0.0716,0.0022,0.00
wan_metro,TcpCubic,1019.89,4.6887,0.0178,0.00
congested_light,TcpBbr,2588.55,0.0143,0.0006,0.00
mixed_small_flow,TcpNewReno,2042.96,2.6659,0.0089,0.01
rdma_like_50g,TcpNewReno,51066.02,1.1027,0.0004,0.00
oversub_4to1_10g,TcpSwift,2552.70,1.4234,0.0071,0.00
lte_good,TcpNewReno,50.14,40.2629,0.1470,0.02
oversub_2to1_50g,TcpSwift,25532.29,0.1423,0.0007,0.00
wan_metro,TcpSwift,1017.73,3.5668,0.0178,0.00
symmetric_low,TcpCubic,1021.18,2.7760,0.0178,0.00
cross_dc_wan,TcpBbr,1019.39,7.8745,0.0012,0.00
lte_poor,TcpCubic,10.05,129.0322,0.7859,1.12
dc_100m,TcpNewReno,102.25,8.1316,0.1362,0.05
oversub_2to1_50g,TcpBbr,7569.50,0.0095,0.0000,0.00
wifi_ac,TcpBbr,406.70,11.5629,0.0034,0.02
congested_heavy,TcpNewReno,1021.55,2.9396,0.0178,0.00
dc_100g,TcpNewReno,101705.77,0.5581,0.0002,0.00
dc_500m,TcpSwift,510.56,5.3651,0.0423,0.00
nr_5g_edge,TcpNewReno,101.16,20.3176,0.0867,0.01
rdma_like_25g,TcpCubic,25533.15,2.1943,0.0007,0.00
leaf_spine_20g,TcpNewReno,20409.65,1.9073,0.0009,0.00
mixed_large_flow,TcpBbr,2444.37,0.0149,0.0001,0.00
congested_medium,TcpSwift,2042.24,1.7791,0.0089,0.00
satellite_leo,TcpSwift,50.33,55.3155,0.3683,0.00
mixed_large_flow,TcpCubic,12766.71,2.2366,0.0014,0.00
asymmetric_high,TcpNewReno,1021.55,2.9396,0.0178,0.00
dc_oversub_10to1,TcpSwift,1021.12,3.4911,0.0182,0.00
lte_good,TcpBbr,47.66,48.4107,0.0461,0.46
dc_100m,TcpBbr,52.43,0.6933,0.0281,0.00
intra_rack_10g,TcpCubic,10213.42,2.2584,0.0018,0.00
rdma_like_25g,TcpNewReno,25533.32,1.8959,0.0007,0.00
cross_pod_10g,TcpCubic,10211.98,2.3387,0.0018,0.00
mixed_large_flow,TcpSwift,12766.13,0.2847,0.0014,0.00
leaf_spine_50g,TcpBbr,7733.24,0.0094,0.0000,0.00
