Scenario,Protocol,Throughput (Mbps),Delay (ms),Jitter (ms),Loss (%)
congested_heavy,TcpCubic,818.62,2.6053,0.0222,0.00
lte_good,TcpCubic,37.28,59.1157,0.2630,1.79
wan_metro,TcpBbr,736.28,3.7906,0.0030,0.00
wifi_n,TcpSwift,38.54,54.3180,0.5538,0.00
cross_dc_wan,TcpNewReno,795.08,6.7429,0.0152,0.00
leaf_spine_20g,TcpCubic,20007.77,2.1539,0.0009,0.00
dc_500m,TcpBbr,28.43,0.1449,0.0065,0.00
congested_medium,TcpCubic,1719.89,2.2512,0.0106,0.00
wifi_ac,TcpNewReno,300.29,9.8051,0.0378,0.00
mixed_large_flow,TcpNewReno,12365.10,1.8934,0.0015,0.00
intra_rack_25g,TcpSwift,25131.00,0.1446,0.0007,0.00
lte_poor,TcpNewReno,6.48,127.7263,0.9188,0.24
leaf_spine_50g,TcpCubic,50662.25,1.1968,0.0004,0.00
asymmetric_high,TcpCubic,818.62,2.6055,0.0222,0.00
dc_oversub_10to1,TcpBbr,57.27,0.0915,0.0025,0.00
rdma_like_25g,TcpSwift,25131.01,0.1446,0.0007,0.00
dc_100m,TcpSwift,77.86,20.6726,0.2840,0.00
dc_oversub_10to1,TcpNewReno,818.66,2.9684,0.0222,0.00
wan_longhaul,TcpBbr,414.41,50.2135,0.0062,1.32
leaf_spine_20g,TcpSwift,20007.04,0.1816,0.0009,0.00
intra_rack_25g,TcpBbr,2.24,0.0048,0.0000,0.00
nr_5g_embb,TcpSwift,384.94,9.4093,0.0459,0.00
rdma_like_25g,TcpBbr,2.11,0.0028,0.0000,0.00
wifi_legacy,TcpBbr,4.80,90.5466,0.5114,1.61
wifi_legacy,TcpSwift,7.55,135.7997,2.5978,0.00
cross_pod_20g,TcpCubic,20003.46,2.1993,0.0009,0.00
congested_light,TcpCubic,4705.17,2.1352,0.0039,0.00
oversub_2to1_50g,TcpCubic,25131.53,2.2277,0.0007,0.00
symmetric_low,TcpNewReno,807.02,3.1358,0.0225,0.00
asymmetric_high,TcpBbr,56.86,0.0930,0.0021,0.00
wan_metro,TcpCubic,817.05,4.4607,0.0222,0.00
congested_light,TcpBbr,4294.13,0.0136,0.0004,0.00
mixed_small_flow,TcpNewReno,1719.82,2.5683,0.0106,0.01
rdma_like_50g,TcpNewReno,50663.49,1.1116,0.0004,0.00
oversub_4to1_10g,TcpSwift,2169.06,1.6752,0.0084,0.00
lte_good,TcpNewReno,33.68,44.7465,0.1918,0.13
oversub_2to1_50g,TcpSwift,25130.95,0.1446,0.0007,0.00
wan_metro,TcpSwift,815.02,4.4536,0.0223,0.00
symmetric_low,TcpCubic,806.85,2.6848,0.0225,0.00
cross_dc_wan,TcpBbr,789.62,8.9700,0.0034,0.03
lte_poor,TcpCubic,6.88,166.3456,1.5130,4.57
dc_100m,TcpNewReno,76.97,7.8816,0.1847,0.08
oversub_2to1_50g,TcpBbr,7609.11,0.0095,0.0000,0.00
wifi_ac,TcpBbr,246.45,13.9791,0.0084,0.08
congested_heavy,TcpNewReno,818.66,2.9684,0.0222,0.00
dc_100g,TcpNewReno,101307.29,0.5601,0.0002,0.00
dc_500m,TcpSwift,389.23,5.5834,0.0565,0.00
nr_5g_edge,TcpNewReno,70.70,20.9384,0.1060,0.02
rdma_like_25g,TcpCubic,25131.81,2.1900,0.0007,0.00
leaf_spine_20g,TcpNewReno,20007.96,1.8909,0.0009,0.00
mixed_large_flow,TcpBbr,2454.38,0.0148,0.0001,0.00
congested_medium,TcpSwift,1719.72,2.1128,0.0106,0.00
satellite_leo,TcpSwift,37.86,63.9787,0.5170,0.00
mixed_large_flow,TcpCubic,12364.78,2.2420,0.0015,0.00
asymmetric_high,TcpNewReno,818.58,2.9711,0.0222,0.00
dc_oversub_10to1,TcpSwift,820.11,4.1446,0.0236,0.00
lte_good,TcpBbr,17.13,72.2271,0.1223,0.57
dc_100m,TcpBbr,13.02,3.0085,0.0227,0.00
intra_rack_10g,TcpCubic,9811.88,2.2253,0.0019,0.00
rdma_like_25g,TcpNewReno,25131.98,1.8819,0.0007,0.00
cross_pod_10g,TcpCubic,9810.40,2.2824,0.0019,0.00
mixed_large_flow,TcpSwift,12364.20,0.2939,0.0015,0.00
leaf_spine_50g,TcpBbr,7740.79,0.0094,0.0000,0.00
